"value" "x" "y" "rbio1" "rbio2" "rbio3" "rbio4" "rbio5" "rbio6" "rbio7" "rbio8" "rbio9" "rbio10" "rbio11" "rbio12" "rbio13" "rbio14" "rbio15" "rbio16" "rbio17" "rbio18" "rbio19" "ph" "nitrogen" "soc"
"87" 87 4650000 5150000 0.905111386447357 5.68272036583499 23.5273945753983 685.011700748633 13.781183613513 -10.3763014602948 24.1574850738078 3.97856364551171 0.878585169693652 9.93862426856178 -6.56238879383979 835.781295989905 106.760143886776 43.2046034691154 28.2441622035037 274.782797373502 139.36668821492 205.342015811213 221.508427482527 30.1283358482497 583.187719055755 1484.77908822918
"88" 88 4750000 5150000 -0.974785372065433 6.83329493106566 23.6790949569643 816.921728448423 14.5056287968964 -14.2986013860313 28.8042301829277 7.38049145047108 -4.87135761179739 9.71996872080707 -10.0418598978123 603.308075712476 82.7405259239948 31.3400463807196 32.6364095345223 211.216449016506 100.753260437062 192.040528001411 137.481532015274 46.1001120343906 473.745061556313 1318.11048135277
"89" 89 4850000 5150000 -2.21816594243337 7.97776185266051 23.7511587196377 944.72171308267 15.6954388838628 -17.9064904035743 33.6019292874371 9.91635115985574 -8.90076520767449 10.1066136565865 -12.9996292030063 485.766166362869 76.6533916816492 24.0807041268472 41.8483079650864 194.726208896623 76.4387372840707 193.852627027287 85.7722559796106 49.0813621699877 428.572999220628 1173.26237132215
"90" 90 4950000 5150000 -1.95754037274941 8.21744425329292 23.3092796225715 982.883227905114 16.4099302612856 -18.8314514016998 35.2413816629854 10.723334122345 -9.7689431376521 10.7838299723883 -13.487356265127 465.138343544745 73.4220365312806 21.5039636045879 44.7771383927622 193.098925960053 68.4626442225742 192.967849527232 74.4467263667584 46.4593075449848 426.571942184693 1143.58964878779
"91" 91 5050000 5150000 -1.27592727908597 7.80004457492928 22.7355098345228 959.173664134253 16.3440622119812 -17.9322894779441 34.2763516899253 11.088787265406 -8.83969330056933 11.0906999868569 -12.6295718381218 488.932251953785 69.6108835818022 23.4432739449963 39.2145839881446 191.106031213672 74.5314409819247 191.090730502281 82.4058216949942 44.8129297710771 458.619708192002 1198.51957719379
"92" 92 5150000 5150000 -0.939212979495683 7.36104864928743 22.1337970934649 938.36344771173 15.9550930495459 -17.2789777837098 33.2340708332557 11.1016188643938 -7.56844063672867 11.1098210042298 -12.0541592501937 513.372975284965 71.3422670738446 25.1575200009603 36.8550886870725 195.879075725993 79.1137398644568 195.869046242979 88.9306567971196 45.0112455867478 503.394517397723 1267.88158395032
"118" 118 4450000 5050000 4.28279404996543 4.53491999311604 25.2928528756687 500.425751168024 13.8922083871502 -4.01997424011002 17.9121826272602 2.58216269777393 7.37471186172265 10.8957826665956 -1.04855600215922 1354.01988034505 176.379362274691 64.2550096633806 30.6967337486674 465.380082963576 214.411485706648 243.011632579485 369.229233838118 4.31705714656286 1044.72798535918 1825.46681577905
"119" 119 4550000 5050000 2.13472861462982 5.10374658140191 23.7578901072014 612.420506169104 13.6244187406244 -8.00555074788334 21.6299694885077 1.48365532964546 3.91499614566703 10.2654858125895 -4.46676214254229 1111.87608291074 142.323892926814 55.611147589039 28.0017794383748 367.716288153654 181.453099498261 228.405049010765 308.298719766055 21.4010016244971 784.810434153312 1644.3253842783
"120" 120 4650000 5050000 -0.246050106810468 6.22694743987343 23.5639995753145 748.532519255051 13.8390445839161 -12.546297767012 26.3853423509281 4.63309645126533 -1.77527847294861 9.60137550928241 -8.47422099012745 815.422069701213 108.140748102984 41.6750416736036 30.5049748231149 274.214594489148 134.454260489581 216.954159539323 209.17412179601 42.4083382741501 580.895364794211 1449.67526660697
"121" 121 4750000 5050000 -1.7995472056149 7.67176400350767 23.964676496488 902.559619702151 15.1967560391531 -16.7939092508127 31.9906652899657 9.31443940322068 -7.3061756567479 9.94395616702651 -12.0518089835801 557.536086449603 84.7287937575011 27.562853618209 38.0492286093632 209.926510768983 88.9292586582441 205.644155958711 110.774701961292 48.5948682972337 455.244534422222 1258.78593108672
"122" 122 4850000 5050000 -1.71215065039418 8.38007843722596 23.7816416326448 986.284044069155 16.6557355125185 -18.5922576120967 35.2479931246152 11.0148787016427 -8.49103921992971 11.0632830666735 -13.2568332652409 504.386378808931 81.1668262398623 24.3233654998499 42.8256657248121 205.246206286449 77.2275052262339 205.212565357571 86.1212119968575 47.0259938570087 437.301357212693 1205.64658286798
"123" 123 4950000 5050000 -1.4162217570127 8.45537188608166 23.4472292624503 1004.24705005634 17.0791804780886 -18.9777051237606 36.0568856018491 11.5001697365396 -8.89990005721221 11.5477366786537 -13.3716222976137 509.544484377812 76.985605014065 24.9968570062917 41.0357547385032 203.315394627646 79.0196374962738 203.28241823191 85.8907741979521 46.8159916141328 446.835310623097 1201.26828613969
"124" 124 5050000 5050000 -1.1371602553454 8.22047479381809 23.121062544165 990.068264262507 16.911122915897 -18.6208100975174 35.5319330134144 11.6473146088786 -8.5732325140017 11.6479653388139 -12.9512876551831 521.665993075382 72.5941662282686 26.1866860465837 36.2504136423078 197.160320934648 82.9647782369238 197.159980779181 91.0500194069906 47.0707040889645 466.296980332458 1206.31988092216
"125" 125 5150000 5050000 -0.91314450146899 7.80948058912233 22.374569130816 976.133367666632 16.5798376005071 -18.295759913756 34.8755975142631 11.6459148452431 -7.65227425899818 11.6533944845469 -12.5712539724904 541.835523239922 74.5587729258564 26.9699157185408 34.7328287390368 201.50129689431 85.189861436967 201.494356119017 95.5239034932317 46.3308627657174 493.681892646317 1272.48502091807
