"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"599" 1 1 2 "599" 1 2 2
"600" 1 1 2 "600" 1 2 3
"601" 1 1 2 "601" 1 2 3
"603" 1 1 2 "603" 1 2 2
"604" 1 1 2 "604" 1 2 2
"605" 1 1 2 "605" 1 2 2
"611" 1 1 1 "611" 1 2 3
"612" 1 1 1 "612" 1 2 3
"613" 1 1 1 "613" 1 2 3
"614" 1 1 1 "614" 1 2 3
"615" 1 1 1 "615" 1 2 3
"616" 1 1 1 "616" 1 2 3
"617" 1 1 1 "617" 1 1 1
"618" 1 1 1 "618" 1 1 1
"619" 1 1 1 "619" 1 1 1
"620" 1 1 1 "620" 1 1 1
"621" 1 1 1 "621" 1 1 1
"622" 1 1 1 "622" 1 1 1
"623" 1 1 1 "623" 1 1 1
"624" 1 1 1 "624" 1 1 1
"625" 1 1 1 "625" 1 1 1
"626" 1 1 1 "626" 1 1 1
"631" 1 1 2 "631" 1 2 2
"632" 1 1 2 "632" 1 2 2
"633" 1 2 3 "633" 1 2 3
"634" 1 1 2 "634" 1 2 2
"635" 1 1 2 "635" 1 2 2
"636" 1 1 2 "636" 1 2 2
"637" 1 1 2 "637" 1 2 2
"638" 1 1 2 "638" 1 2 2
"644" 1 1 1 "644" 1 2 3
"645" 1 1 1 "645" 1 2 3
"646" 1 1 1 "646" 1 1 1
"647" 1 1 1 "647" 1 1 1
"648" 1 1 1 "648" 1 1 1
"649" 1 1 1 "649" 1 1 1
"650" 1 1 1 "650" 1 1 1
"651" 1 1 1 "651" 1 1 1
"652" 1 1 1 "652" 1 1 1
"653" 1 1 1 "653" 1 1 1
"654" 1 1 1 "654" 1 1 1
"655" 1 1 1 "655" 1 1 1
"656" 1 1 1 "656" 1 1 1
"657" 1 1 1 "657" 1 1 1
"658" 1 1 1 "658" 1 1 1
"659" 1 1 1 "659" 1 1 1
"664" 1 1 2 "664" 1 2 3
"665" 1 1 2 "665" 1 2 2
"666" 1 1 2 "666" 1 2 2
"667" 1 1 2 "667" 1 2 2
"668" 1 1 2 "668" 1 2 2
"669" 1 1 2 "669" 1 2 2
"670" 1 1 2 "670" 1 2 2
"671" 1 1 2 "671" 1 2 2
"672" 1 1 2 "672" 1 2 2
"674" 1 1 1 "674" 1 2 3
"675" 1 1 1 "675" 1 2 3
"676" 1 1 1 "676" 1 2 3
"677" 1 1 1 "677" 1 2 3
"678" 1 1 1 "678" 1 1 1
"679" 1 1 1 "679" 1 1 1
"680" 1 1 1 "680" 1 1 1
"681" 1 1 1 "681" 1 1 1
"682" 1 1 1 "682" 1 1 1
"683" 1 1 1 "683" 1 1 1
"684" 1 1 1 "684" 1 1 1
